Account,Closed PnL_sum,Closed PnL_mean,Closed PnL_std,Closed PnL_count,position_value_sum,position_value_mean,position_value_max,Size Tokens_sum,Size Tokens_mean,Size Tokens_std,win_rate,profit_factor,risk_adjusted_return,trading_frequency,consistency_score,pnl_score,winrate_score,frequency_score,pf_score,risk_score,composite_score,trader_class
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.5977,145.4817,1374.0264,14733,56543565.23,3837.8854,102878.22,90349567.0115,6132.4623,199806.2443,33.713432430597976,36.095615743551,0.10587984335672153,14733,54.10723265437558,100.0,17.73732481418988,36.13620395463214,100.0,71.76189207713287,67.45335946417082,Competent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.4067,38.3196,172.5208,9893,25729497.24,2600.778,62045.14,560933936.8464,56700.0846,395179.8295,81.08763772364298,8.604446854939278,0.22211582603373042,9893,90.16957553898011,23.657103023121596,100.0,23.99126769045468,85.35328784568549,97.74478812349956,65.59916599603174,Competent
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.8062,44.3641,567.7628,21192,68036340.24,3210.4728,1120971.6,4425939.3807,208.8495,930.6009,46.75821064552662,27208.369846921258,0.07813844091229648,21192,45.50043169644346,47.935229191306505,40.388857362919474,52.34367158486399,100.0,89.19756886862629,58.43752902979139,Competent
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.0506,155.5893,855.354,4356,39572949.25,9084.6991,610194.33,15980552.8143,3668.6301,44413.1618,48.62258953168045,52.80460926288537,0.18190047629402564,4356,77.69271856115905,36.58013040695135,43.62624770617175,10.097360232861588,100.0,82.97832839779548,55.66076531055933,Competent
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.005,52.071,255.8291,3239,10166880.2,3138.8948,185882.51,87920313.816,27144.2772,160211.7311,51.99135535659154,14.959188362980711,0.2035382214142175,3239,84.40585304673674,14.551215410255578,49.47592237865441,7.294489611562782,100.0,95.94322273861951,52.2451982908363,Competent
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.5531,20.8063,264.1239,40184,74107810.44,1844.2119,157522.46,3877302.7903,96.4887,287.8596,42.8230141349791,3.8624766240981994,0.07877477199147824,40184,45.69785412138521,43.431417618584135,33.55560727804619,100.0,35.58501261999669,95.76384535900064,51.50936128829183,Competent
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.2168,111.5192,468.996,975,728057.51,746.7257,12327.5,1060363.1616,1087.552,11427.6188,43.17948717948718,1162.6261555583023,0.2377828382331619,975,95.03028349619801,11.958108890497472,34.17460291272696,1.6134698384020878,100.0,91.33342865757133,48.97158562372168,Developing
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.5552,68.6844,639.4024,12236,420876556.36,34396.5803,3921430.72,438268.6705,35.818,196.3171,40.119320039228505,5.902045349745262,0.1074196781244487,12236,54.58496810342079,43.6193014397016,28.860792709131918,29.8705209274315,56.990844529174744,87.6483423984348,47.34620720121282,Developing
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.8753,6.8121,68.2349,15605,19868207.98,1273.195,414876.88,4164181.7066,266.8492,2489.6648,34.57866068567767,11.471318148407192,0.09983307662208049,15605,52.231216550706705,11.853031539199524,19.239745603497667,38.32429990966577,100.0,100.0,44.07097105603197,Developing
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,403011.5042,281.8262,1591.524,1430,3051144.33,2133.6674,59372.72,2986742.91,2088.6314,24202.1438,30.629370629370626,10.274501955259113,0.17707945340440986,1430,76.19699084848544,24.6919822518806,12.382022859508307,2.7551942186088527,100.0,67.05844539229491,43.29491183582904,Developing
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.9421,41.4741,220.3877,3052,10992355.74,3601.6893,400000.0,4985260.9824,1633.4407,4675.1379,28.538663171690693,191.40172481457287,0.18818699954670792,3052,79.64311939116908,12.730402120760756,8.751625527546633,6.825253437719563,100.0,96.7096529674405,42.86940429092892,Developing
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.82,419.1278,4692.4523,3818,61697263.97,16159.5767,1190250.0,61726.3872,16.1672,58.3024,35.961236249345205,4.708739012601688,0.08931956537949251,3818,48.969387996248706,76.49710502792149,21.640511248225398,8.747365251430292,44.466767969338086,0.0,42.167393678002576,Developing
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.4843,174.6918,976.0688,417,861809.4,2066.6892,97708.22,701612.0581,1682.5229,8242.495,57.31414868105516,5.095726132351362,0.17897488373770373,417,76.78505021718422,10.405331967179471,58.71865723031073,0.21328916992873634,48.528303691185556,80.36783694469035,41.720446733933365,Developing
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443,9.5577,72.5612,1559,5844484.45,3748.8675,144186.1,255504.4801,163.89,723.1055,45.22129570237332,7.440123791525199,0.13171915569202275,1559,62.12390804075175,7.897934824724196,37.720089961445005,3.0788919000301114,73.13339867499133,99.90644254744598,40.500527891815324,Developing
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.6579,34.2824,325.7556,1911,11999173.37,6279.0023,606568.35,1286673.6313,673.2986,3801.789,33.01936159079016,12.641428628626457,0.1052396336394524,1911,53.90860687765402,10.088031465730364,16.53210936629222,3.9621599919702897,100.0,94.43104253705718,39.2584425975284,Developing
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.8146,9.9515,113.2694,13311,6757022.1,507.6269,32349.42,27605384.9005,2073.8776,11351.0857,43.85846292540004,4.410181133451602,0.08785691457710555,13311,48.515598958281956,12.985091130678613,35.35360656882148,32.56800160594199,41.33332132648475,99.02611628942878,37.60299848521996,Developing
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.8723,336.7355,1649.4976,1237,2966109.22,2397.8248,112740.0,1798633.6588,1454.0288,5974.5258,48.42360549717058,inf,0.204144280052302,1237,84.59388341316391,25.277458076444105,43.28072298661618,2.270902338653016,5.5425371255962,65.80475001023956,36.567410335959735,Developing
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.5659,270.0349,2525.2404,1590,11474500.92,7216.6672,921670.14,708355.66,445.5067,1429.6716,34.59119496855346,7.446678113925911,0.10693433385589743,1590,54.43438950438052,25.831922505698167,19.261510689255203,3.1566797149452976,73.2021880821949,46.86656600530934,35.74969009957226,Developing
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.8318,40.7469,288.2661,534,4448323.26,8330.1934,174720.0,71.5849,0.1341,0.4317,32.20973782771536,6.63440900816173,0.1413516885960576,534,65.11241208599048,8.194705822244734,15.126242687736802,0.5068754391247616,64.67720153755653,95.24176350359306,34.52696622202462,Developing
